N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,OM,Fertility
Nclass2,Pclass3,Kclass2,pHclass1,ECclass0,OCclass1,Sclass2,Znclass1,Feclass1,Cuclass2,Mnclass0,Bclass0,OMclass1,1.0
Nclass2,Pclass1,Kclass3,pHclass2,ECclass1,OCclass1,Sclass1,Znclass0,Feclass2,Cuclass2,Mnclass1,Bclass1,OMclass1,0.0
Nclass1,Pclass0,Kclass0,pHclass2,ECclass2,OCclass0,Sclass3,Znclass3,Feclass1,Cuclass0,Mnclass3,Bclass3,OMclass0,0.0
Nclass2,Pclass3,Kclass2,pHclass3,ECclass0,OCclass0,Sclass0,Znclass0,Feclass1,Cuclass1,Mnclass3,Bclass2,OMclass0,1.0
Nclass3,Pclass2,Kclass3,pHclass3,ECclass2,OCclass2,Sclass1,Znclass1,Feclass3,Cuclass2,Mnclass0,Bclass1,OMclass2,1.0
Nclass2,Pclass1,Kclass2,pHclass3,ECclass1,OCclass3,Sclass2,Znclass0,Feclass1,Cuclass3,Mnclass0,Bclass3,OMclass3,1.0
Nclass1,Pclass3,Kclass1,pHclass3,ECclass0,OCclass3,Sclass0,Znclass3,Feclass1,Cuclass1,Mnclass1,Bclass3,OMclass3,0.0
Nclass3,Pclass1,Kclass2,pHclass1,ECclass3,OCclass0,Sclass2,Znclass3,Feclass2,Cuclass3,Mnclass3,Bclass2,OMclass0,1.0
Nclass3,Pclass1,Kclass2,pHclass1,ECclass0,OCclass3,Sclass0,Znclass0,Feclass1,Cuclass3,Mnclass3,Bclass3,OMclass3,1.0
Nclass2,Pclass0,Kclass2,pHclass3,ECclass1,OCclass3,Sclass3,Znclass2,Feclass2,Cuclass1,Mnclass3,Bclass3,OMclass3,1.0
Nclass2,Pclass1,Kclass3,pHclass2,ECclass1,OCclass0,Sclass1,Znclass3,Feclass2,Cuclass0,Mnclass0,Bclass2,OMclass0,0.0
Nclass1,Pclass0,Kclass1,pHclass2,ECclass0,OCclass2,Sclass2,Znclass0,Feclass2,Cuclass1,Mnclass1,Bclass0,OMclass2,0.0
Nclass2,Pclass3,Kclass2,pHclass2,ECclass1,OCclass1,Sclass0,Znclass3,Feclass1,Cuclass2,Mnclass3,Bclass0,OMclass1,1.0
Nclass3,Pclass2,Kclass2,pHclass3,ECclass0,OCclass2,Sclass3,Znclass0,Feclass2,Cuclass3,Mnclass3,Bclass2,OMclass2,1.0
Nclass3,Pclass3,Kclass3,pHclass3,ECclass2,OCclass3,Sclass0,Znclass1,Feclass1,Cuclass2,Mnclass0,Bclass3,OMclass3,1.0
Nclass3,Pclass3,Kclass2,pHclass0,ECclass1,OCclass3,Sclass2,Znclass1,Feclass2,Cuclass2,Mnclass1,Bclass1,OMclass3,1.0
Nclass3,Pclass1,Kclass3,pHclass1,ECclass3,OCclass3,Sclass1,Znclass1,Feclass2,Cuclass3,Mnclass2,Bclass1,OMclass3,1.0
Nclass3,Pclass1,Kclass2,pHclass3,ECclass3,OCclass2,Sclass1,Znclass2,Feclass1,Cuclass2,Mnclass2,Bclass2,OMclass2,1.0
Nclass0,Pclass0,Kclass1,pHclass0,ECclass0,OCclass1,Sclass1,Znclass0,Feclass2,Cuclass0,Mnclass0,Bclass0,OMclass1,0.0
Nclass1,Pclass1,Kclass1,pHclass0,ECclass0,OCclass0,Sclass2,Znclass2,Feclass2,Cuclass0,Mnclass3,Bclass2,OMclass0,0.0
Nclass0,Pclass2,Kclass2,pHclass0,ECclass0,OCclass2,Sclass1,Znclass3,Feclass3,Cuclass1,Mnclass0,Bclass1,OMclass2,0.0
Nclass0,Pclass0,Kclass2,pHclass0,ECclass0,OCclass3,Sclass2,Znclass3,Feclass2,Cuclass2,Mnclass0,Bclass3,OMclass3,0.0
Nclass2,Pclass0,Kclass3,pHclass0,ECclass0,OCclass1,Sclass3,Znclass1,Feclass1,Cuclass3,Mnclass3,Bclass3,OMclass1,0.0
Nclass1,Pclass1,Kclass1,pHclass0,ECclass1,OCclass3,Sclass1,Znclass0,Feclass2,Cuclass2,Mnclass0,Bclass3,OMclass3,0.0
Nclass0,Pclass0,Kclass1,pHclass1,ECclass0,OCclass2,Sclass2,Znclass3,Feclass2,Cuclass0,Mnclass3,Bclass1,OMclass2,0.0
Nclass1,Pclass2,Kclass1,pHclass0,ECclass0,OCclass0,Sclass3,Znclass3,Feclass1,Cuclass0,Mnclass1,Bclass3,OMclass0,0.0
Nclass0,Pclass1,Kclass1,pHclass0,ECclass0,OCclass1,Sclass3,Znclass1,Feclass2,Cuclass2,Mnclass1,Bclass3,OMclass1,0.0
Nclass1,Pclass1,Kclass3,pHclass0,ECclass0,OCclass1,Sclass1,Znclass3,Feclass2,Cuclass2,Mnclass3,Bclass3,OMclass1,0.0
Nclass1,Pclass0,Kclass3,pHclass0,ECclass0,OCclass0,Sclass3,Znclass3,Feclass2,Cuclass3,Mnclass3,Bclass3,OMclass0,0.0
Nclass1,Pclass1,Kclass2,pHclass0,ECclass0,OCclass2,Sclass3,Znclass2,Feclass3,Cuclass1,Mnclass2,Bclass1,OMclass2,0.0
Nclass2,Pclass0,Kclass0,pHclass0,ECclass0,OCclass1,Sclass2,Znclass0,Feclass1,Cuclass0,Mnclass3,Bclass3,OMclass1,1.0
Nclass1,Pclass0,Kclass1,pHclass0,ECclass0,OCclass0,Sclass1,Znclass3,Feclass1,Cuclass2,Mnclass2,Bclass1,OMclass0,0.0
Nclass0,Pclass0,Kclass1,pHclass0,ECclass0,OCclass0,Sclass0,Znclass2,Feclass2,Cuclass0,Mnclass3,Bclass3,OMclass0,0.0
Nclass3,Pclass0,Kclass1,pHclass0,ECclass3,OCclass3,Sclass1,Znclass3,Feclass3,Cuclass0,Mnclass3,Bclass0,OMclass3,1.0
Nclass0,Pclass0,Kclass2,pHclass0,ECclass2,OCclass1,Sclass2,Znclass2,Feclass3,Cuclass2,Mnclass2,Bclass3,OMclass1,0.0
Nclass1,Pclass0,Kclass2,pHclass0,ECclass3,OCclass2,Sclass2,Znclass1,Feclass3,Cuclass3,Mnclass2,Bclass2,OMclass2,0.0
Nclass3,Pclass2,Kclass3,pHclass0,ECclass0,OCclass0,Sclass1,Znclass1,Feclass3,Cuclass0,Mnclass3,Bclass0,OMclass0,0.0
Nclass1,Pclass0,Kclass3,pHclass0,ECclass0,OCclass1,Sclass2,Znclass2,Feclass2,Cuclass3,Mnclass2,Bclass1,OMclass1,0.0
Nclass1,Pclass1,Kclass3,pHclass0,ECclass0,OCclass0,Sclass1,Znclass3,Feclass2,Cuclass2,Mnclass3,Bclass1,OMclass0,0.0
Nclass2,Pclass1,Kclass3,pHclass0,ECclass3,OCclass3,Sclass2,Znclass2,Feclass3,Cuclass1,Mnclass3,Bclass2,OMclass3,0.0
Nclass0,Pclass1,Kclass3,pHclass0,ECclass2,OCclass0,Sclass0,Znclass0,Feclass1,Cuclass1,Mnclass3,Bclass1,OMclass0,0.0
Nclass0,Pclass1,Kclass1,pHclass0,ECclass1,OCclass3,Sclass2,Znclass3,Feclass3,Cuclass1,Mnclass2,Bclass3,OMclass3,0.0
Nclass0,Pclass0,Kclass1,pHclass0,ECclass2,OCclass0,Sclass0,Znclass3,Feclass2,Cuclass2,Mnclass1,Bclass0,OMclass0,0.0
Nclass1,Pclass1,Kclass3,pHclass0,ECclass2,OCclass2,Sclass2,Znclass2,Feclass2,Cuclass3,Mnclass2,Bclass1,OMclass2,0.0
Nclass0,Pclass1,Kclass3,pHclass0,ECclass3,OCclass0,Sclass3,Znclass3,Feclass3,Cuclass2,Mnclass2,Bclass1,OMclass0,0.0
Nclass1,Pclass0,Kclass3,pHclass0,ECclass2,OCclass3,Sclass2,Znclass3,Feclass2,Cuclass1,Mnclass3,Bclass2,OMclass3,0.0
Nclass0,Pclass0,Kclass3,pHclass0,ECclass2,OCclass1,Sclass1,Znclass3,Feclass3,Cuclass1,Mnclass3,Bclass3,OMclass1,0.0
Nclass0,Pclass0,Kclass3,pHclass0,ECclass2,OCclass1,Sclass3,Znclass2,Feclass3,Cuclass0,Mnclass1,Bclass3,OMclass1,0.0
Nclass1,Pclass0,Kclass3,pHclass0,ECclass1,OCclass2,Sclass0,Znclass2,Feclass3,Cuclass2,Mnclass3,Bclass2,OMclass2,0.0
Nclass1,Pclass0,Kclass3,pHclass0,ECclass1,OCclass2,Sclass1,Znclass3,Feclass2,Cuclass3,Mnclass3,Bclass1,OMclass2,0.0
Nclass1,Pclass0,Kclass1,pHclass0,ECclass2,OCclass0,Sclass3,Znclass2,Feclass3,Cuclass2,Mnclass3,Bclass2,OMclass0,0.0
Nclass3,Pclass0,Kclass0,pHclass0,ECclass0,OCclass3,Sclass3,Znclass3,Feclass3,Cuclass2,Mnclass0,Bclass1,OMclass3,1.0
Nclass0,Pclass0,Kclass1,pHclass0,ECclass3,OCclass3,Sclass3,Znclass3,Feclass2,Cuclass3,Mnclass1,Bclass3,OMclass3,0.0
Nclass0,Pclass1,Kclass2,pHclass0,ECclass2,OCclass3,Sclass0,Znclass2,Feclass2,Cuclass3,Mnclass3,Bclass0,OMclass3,0.0
Nclass0,Pclass2,Kclass2,pHclass0,ECclass1,OCclass0,Sclass1,Znclass2,Feclass3,Cuclass3,Mnclass3,Bclass0,OMclass0,0.0
Nclass0,Pclass1,Kclass2,pHclass0,ECclass1,OCclass2,Sclass2,Znclass3,Feclass3,Cuclass0,Mnclass2,Bclass3,OMclass2,0.0
Nclass0,Pclass2,Kclass2,pHclass0,ECclass3,OCclass1,Sclass3,Znclass2,Feclass3,Cuclass2,Mnclass3,Bclass3,OMclass1,0.0
Nclass0,Pclass1,Kclass3,pHclass0,ECclass1,OCclass3,Sclass3,Znclass0,Feclass2,Cuclass1,Mnclass1,Bclass2,OMclass3,0.0
Nclass1,Pclass0,Kclass1,pHclass0,ECclass1,OCclass2,Sclass3,Znclass1,Feclass2,Cuclass1,Mnclass3,Bclass1,OMclass2,0.0
Nclass0,Pclass2,Kclass1,pHclass0,ECclass2,OCclass1,Sclass2,Znclass3,Feclass3,Cuclass2,Mnclass3,Bclass1,OMclass1,0.0
Nclass0,Pclass2,Kclass2,pHclass0,ECclass1,OCclass0,Sclass1,Znclass3,Feclass3,Cuclass3,Mnclass2,Bclass3,OMclass0,0.0
Nclass2,Pclass0,Kclass2,pHclass0,ECclass3,OCclass3,Sclass2,Znclass2,Feclass2,Cuclass1,Mnclass1,Bclass1,OMclass3,0.0
Nclass2,Pclass0,Kclass3,pHclass0,ECclass3,OCclass2,Sclass3,Znclass3,Feclass3,Cuclass3,Mnclass3,Bclass2,OMclass2,1.0
Nclass0,Pclass0,Kclass1,pHclass0,ECclass3,OCclass1,Sclass1,Znclass2,Feclass3,Cuclass2,Mnclass2,Bclass2,OMclass1,0.0
Nclass1,Pclass0,Kclass1,pHclass0,ECclass2,OCclass0,Sclass1,Znclass0,Feclass2,Cuclass0,Mnclass1,Bclass1,OMclass0,0.0
Nclass0,Pclass1,Kclass3,pHclass0,ECclass0,OCclass0,Sclass3,Znclass3,Feclass3,Cuclass0,Mnclass3,Bclass2,OMclass0,0.0
Nclass1,Pclass0,Kclass1,pHclass0,ECclass0,OCclass2,Sclass1,Znclass2,Feclass2,Cuclass2,Mnclass1,Bclass0,OMclass2,0.0
Nclass0,Pclass1,Kclass1,pHclass0,ECclass0,OCclass3,Sclass2,Znclass3,Feclass2,Cuclass3,Mnclass3,Bclass1,OMclass3,0.0
Nclass0,Pclass1,Kclass2,pHclass0,ECclass0,OCclass3,Sclass1,Znclass3,Feclass3,Cuclass2,Mnclass0,Bclass2,OMclass3,0.0
Nclass0,Pclass1,Kclass3,pHclass0,ECclass0,OCclass1,Sclass2,Znclass1,Feclass3,Cuclass2,Mnclass0,Bclass1,OMclass1,0.0
Nclass0,Pclass2,Kclass2,pHclass0,ECclass0,OCclass2,Sclass0,Znclass0,Feclass1,Cuclass3,Mnclass1,Bclass2,OMclass2,0.0
Nclass1,Pclass0,Kclass2,pHclass0,ECclass0,OCclass0,Sclass1,Znclass3,Feclass3,Cuclass2,Mnclass3,Bclass0,OMclass0,0.0
Nclass0,Pclass1,Kclass1,pHclass0,ECclass0,OCclass2,Sclass1,Znclass2,Feclass0,Cuclass1,Mnclass1,Bclass1,OMclass2,0.0
Nclass1,Pclass1,Kclass2,pHclass0,ECclass0,OCclass0,Sclass2,Znclass0,Feclass3,Cuclass2,Mnclass2,Bclass2,OMclass0,0.0
Nclass0,Pclass0,Kclass1,pHclass0,ECclass0,OCclass2,Sclass2,Znclass2,Feclass2,Cuclass2,Mnclass2,Bclass1,OMclass2,0.0
Nclass1,Pclass0,Kclass3,pHclass0,ECclass0,OCclass0,Sclass1,Znclass3,Feclass1,Cuclass3,Mnclass3,Bclass2,OMclass0,0.0
Nclass0,Pclass1,Kclass2,pHclass0,ECclass0,OCclass2,Sclass3,Znclass0,Feclass3,Cuclass1,Mnclass3,Bclass3,OMclass2,0.0
Nclass0,Pclass2,Kclass2,pHclass0,ECclass0,OCclass3,Sclass0,Znclass1,Feclass3,Cuclass2,Mnclass3,Bclass3,OMclass3,0.0
Nclass0,Pclass1,Kclass2,pHclass0,ECclass0,OCclass3,Sclass2,Znclass3,Feclass3,Cuclass0,Mnclass2,Bclass1,OMclass3,0.0
Nclass0,Pclass2,Kclass2,pHclass0,ECclass0,OCclass0,Sclass1,Znclass0,Feclass2,Cuclass2,Mnclass1,Bclass0,OMclass0,0.0
Nclass1,Pclass0,Kclass1,pHclass0,ECclass0,OCclass1,Sclass0,Znclass2,Feclass3,Cuclass0,Mnclass2,Bclass3,OMclass1,0.0
Nclass0,Pclass0,Kclass2,pHclass0,ECclass0,OCclass1,Sclass2,Znclass0,Feclass0,Cuclass2,Mnclass3,Bclass3,OMclass1,0.0
Nclass0,Pclass2,Kclass3,pHclass0,ECclass0,OCclass0,Sclass1,Znclass3,Feclass3,Cuclass3,Mnclass2,Bclass0,OMclass0,0.0
Nclass0,Pclass2,Kclass2,pHclass0,ECclass0,OCclass3,Sclass2,Znclass2,Feclass3,Cuclass1,Mnclass3,Bclass3,OMclass3,0.0
Nclass1,Pclass1,Kclass0,pHclass0,ECclass0,OCclass2,Sclass3,Znclass1,Feclass2,Cuclass2,Mnclass3,Bclass3,OMclass2,0.0
Nclass3,Pclass1,Kclass0,pHclass0,ECclass0,OCclass1,Sclass0,Znclass0,Feclass3,Cuclass2,Mnclass1,Bclass1,OMclass1,1.0
Nclass0,Pclass0,Kclass2,pHclass0,ECclass0,OCclass1,Sclass0,Znclass3,Feclass3,Cuclass2,Mnclass2,Bclass2,OMclass1,0.0
Nclass0,Pclass2,Kclass1,pHclass0,ECclass1,OCclass3,Sclass2,Znclass0,Feclass2,Cuclass2,Mnclass3,Bclass3,OMclass3,0.0
Nclass1,Pclass0,Kclass0,pHclass0,ECclass0,OCclass0,Sclass0,Znclass1,Feclass3,Cuclass2,Mnclass3,Bclass1,OMclass0,0.0
Nclass0,Pclass2,Kclass1,pHclass0,ECclass0,OCclass2,Sclass1,Znclass2,Feclass1,Cuclass1,Mnclass3,Bclass2,OMclass2,0.0
Nclass1,Pclass0,Kclass2,pHclass0,ECclass0,OCclass0,Sclass2,Znclass0,Feclass0,Cuclass2,Mnclass2,Bclass0,OMclass0,0.0
Nclass2,Pclass0,Kclass3,pHclass0,ECclass0,OCclass1,Sclass1,Znclass3,Feclass3,Cuclass3,Mnclass3,Bclass3,OMclass1,1.0
Nclass0,Pclass1,Kclass3,pHclass0,ECclass0,OCclass0,Sclass2,Znclass0,Feclass0,Cuclass2,Mnclass1,Bclass3,OMclass0,0.0
Nclass3,Pclass2,Kclass1,pHclass0,ECclass0,OCclass1,Sclass3,Znclass1,Feclass2,Cuclass2,Mnclass3,Bclass1,OMclass1,1.0
Nclass1,Pclass2,Kclass1,pHclass0,ECclass0,OCclass3,Sclass0,Znclass0,Feclass3,Cuclass2,Mnclass2,Bclass2,OMclass3,0.0
Nclass0,Pclass0,Kclass2,pHclass0,ECclass0,OCclass1,Sclass2,Znclass1,Feclass2,Cuclass2,Mnclass0,Bclass2,OMclass1,0.0
Nclass0,Pclass0,Kclass2,pHclass0,ECclass0,OCclass3,Sclass0,Znclass2,Feclass1,Cuclass2,Mnclass3,Bclass2,OMclass3,0.0
Nclass0,Pclass0,Kclass2,pHclass0,ECclass0,OCclass0,Sclass2,Znclass3,Feclass3,Cuclass2,Mnclass3,Bclass1,OMclass0,0.0
Nclass2,Pclass1,Kclass1,pHclass0,ECclass0,OCclass2,Sclass0,Znclass2,Feclass2,Cuclass2,Mnclass2,Bclass0,OMclass2,1.0
Nclass3,Pclass1,Kclass1,pHclass1,ECclass3,OCclass3,Sclass2,Znclass0,Feclass3,Cuclass1,Mnclass2,Bclass2,OMclass3,1.0
Nclass0,Pclass0,Kclass1,pHclass1,ECclass0,OCclass1,Sclass3,Znclass1,Feclass0,Cuclass0,Mnclass0,Bclass1,OMclass1,0.0
Nclass1,Pclass0,Kclass2,pHclass1,ECclass3,OCclass2,Sclass0,Znclass1,Feclass2,Cuclass3,Mnclass1,Bclass2,OMclass2,0.0
Nclass1,Pclass1,Kclass2,pHclass1,ECclass1,OCclass0,Sclass2,Znclass2,Feclass3,Cuclass3,Mnclass3,Bclass0,OMclass0,0.0
Nclass0,Pclass1,Kclass2,pHclass1,ECclass0,OCclass3,Sclass0,Znclass3,Feclass2,Cuclass2,Mnclass2,Bclass1,OMclass3,0.0
Nclass2,Pclass1,Kclass1,pHclass1,ECclass0,OCclass1,Sclass2,Znclass3,Feclass0,Cuclass3,Mnclass1,Bclass3,OMclass1,1.0
Nclass0,Pclass2,Kclass1,pHclass1,ECclass0,OCclass3,Sclass2,Znclass0,Feclass1,Cuclass3,Mnclass2,Bclass1,OMclass3,0.0
Nclass3,Pclass1,Kclass2,pHclass1,ECclass1,OCclass0,Sclass3,Znclass1,Feclass3,Cuclass2,Mnclass1,Bclass2,OMclass0,1.0
Nclass0,Pclass1,Kclass1,pHclass2,ECclass1,OCclass2,Sclass0,Znclass3,Feclass3,Cuclass1,Mnclass3,Bclass1,OMclass2,0.0
Nclass1,Pclass0,Kclass1,pHclass2,ECclass2,OCclass2,Sclass1,Znclass0,Feclass0,Cuclass3,Mnclass2,Bclass3,OMclass2,0.0
Nclass1,Pclass1,Kclass1,pHclass2,ECclass0,OCclass0,Sclass2,Znclass2,Feclass3,Cuclass3,Mnclass2,Bclass1,OMclass0,0.0
Nclass0,Pclass1,Kclass0,pHclass1,ECclass3,OCclass3,Sclass1,Znclass3,Feclass2,Cuclass1,Mnclass1,Bclass2,OMclass3,0.0
Nclass2,Pclass1,Kclass0,pHclass2,ECclass0,OCclass3,Sclass0,Znclass3,Feclass2,Cuclass0,Mnclass3,Bclass1,OMclass3,1.0
Nclass0,Pclass1,Kclass1,pHclass2,ECclass1,OCclass1,Sclass1,Znclass1,Feclass3,Cuclass2,Mnclass3,Bclass2,OMclass1,0.0
Nclass2,Pclass1,Kclass2,pHclass3,ECclass2,OCclass1,Sclass1,Znclass1,Feclass2,Cuclass2,Mnclass2,Bclass1,OMclass1,1.0
Nclass1,Pclass0,Kclass2,pHclass3,ECclass2,OCclass3,Sclass3,Znclass3,Feclass1,Cuclass3,Mnclass3,Bclass3,OMclass3,0.0
Nclass2,Pclass1,Kclass2,pHclass3,ECclass2,OCclass3,Sclass1,Znclass0,Feclass3,Cuclass2,Mnclass2,Bclass1,OMclass3,1.0
Nclass2,Pclass1,Kclass0,pHclass3,ECclass2,OCclass1,Sclass2,Znclass2,Feclass2,Cuclass3,Mnclass1,Bclass1,OMclass1,1.0
Nclass3,Pclass3,Kclass1,pHclass3,ECclass2,OCclass0,Sclass3,Znclass2,Feclass2,Cuclass2,Mnclass0,Bclass2,OMclass0,1.0
Nclass2,Pclass3,Kclass0,pHclass3,ECclass3,OCclass3,Sclass3,Znclass1,Feclass2,Cuclass0,Mnclass2,Bclass1,OMclass3,1.0
Nclass3,Pclass2,Kclass0,pHclass0,ECclass3,OCclass0,Sclass2,Znclass0,Feclass2,Cuclass3,Mnclass3,Bclass1,OMclass0,1.0
Nclass3,Pclass0,Kclass2,pHclass3,ECclass3,OCclass2,Sclass2,Znclass0,Feclass1,Cuclass2,Mnclass2,Bclass1,OMclass2,1.0
Nclass1,Pclass3,Kclass3,pHclass3,ECclass2,OCclass3,Sclass0,Znclass3,Feclass1,Cuclass3,Mnclass0,Bclass0,OMclass3,1.0
Nclass3,Pclass1,Kclass0,pHclass3,ECclass2,OCclass1,Sclass0,Znclass3,Feclass2,Cuclass1,Mnclass2,Bclass1,OMclass1,1.0
Nclass2,Pclass3,Kclass0,pHclass3,ECclass1,OCclass2,Sclass1,Znclass3,Feclass2,Cuclass0,Mnclass3,Bclass3,OMclass2,1.0
Nclass3,Pclass3,Kclass2,pHclass2,ECclass2,OCclass1,Sclass2,Znclass1,Feclass1,Cuclass0,Mnclass2,Bclass1,OMclass1,1.0
Nclass3,Pclass1,Kclass0,pHclass3,ECclass2,OCclass0,Sclass1,Znclass1,Feclass2,Cuclass1,Mnclass2,Bclass2,OMclass0,1.0
Nclass1,Pclass3,Kclass0,pHclass3,ECclass2,OCclass3,Sclass2,Znclass0,Feclass2,Cuclass3,Mnclass1,Bclass1,OMclass3,1.0
Nclass2,Pclass0,Kclass3,pHclass2,ECclass2,OCclass0,Sclass1,Znclass3,Feclass0,Cuclass3,Mnclass1,Bclass2,OMclass0,1.0
Nclass3,Pclass3,Kclass2,pHclass2,ECclass2,OCclass1,Sclass1,Znclass2,Feclass1,Cuclass3,Mnclass0,Bclass3,OMclass1,1.0
Nclass3,Pclass3,Kclass0,pHclass3,ECclass3,OCclass2,Sclass3,Znclass2,Feclass2,Cuclass1,Mnclass0,Bclass3,OMclass2,1.0
Nclass0,Pclass3,Kclass0,pHclass3,ECclass2,OCclass0,Sclass3,Znclass3,Feclass2,Cuclass3,Mnclass3,Bclass0,OMclass0,0.0
Nclass3,Pclass2,Kclass0,pHclass2,ECclass3,OCclass3,Sclass1,Znclass1,Feclass1,Cuclass3,Mnclass1,Bclass1,OMclass3,1.0
Nclass3,Pclass0,Kclass0,pHclass3,ECclass2,OCclass2,Sclass1,Znclass0,Feclass3,Cuclass3,Mnclass0,Bclass2,OMclass2,1.0
Nclass0,Pclass0,Kclass1,pHclass3,ECclass2,OCclass3,Sclass3,Znclass3,Feclass3,Cuclass0,Mnclass3,Bclass1,OMclass3,0.0
Nclass3,Pclass1,Kclass3,pHclass3,ECclass2,OCclass3,Sclass3,Znclass2,Feclass3,Cuclass1,Mnclass2,Bclass3,OMclass3,1.0
Nclass1,Pclass1,Kclass3,pHclass2,ECclass2,OCclass0,Sclass0,Znclass3,Feclass2,Cuclass2,Mnclass1,Bclass1,OMclass0,0.0
Nclass3,Pclass0,Kclass0,pHclass2,ECclass2,OCclass2,Sclass2,Znclass1,Feclass2,Cuclass3,Mnclass1,Bclass0,OMclass2,1.0
Nclass0,Pclass0,Kclass0,pHclass2,ECclass2,OCclass0,Sclass3,Znclass3,Feclass2,Cuclass2,Mnclass2,Bclass3,OMclass0,0.0
Nclass2,Pclass1,Kclass0,pHclass2,ECclass3,OCclass1,Sclass2,Znclass3,Feclass3,Cuclass0,Mnclass3,Bclass3,OMclass1,1.0
Nclass2,Pclass0,Kclass0,pHclass2,ECclass2,OCclass0,Sclass2,Znclass2,Feclass3,Cuclass2,Mnclass2,Bclass3,OMclass0,1.0
Nclass2,Pclass0,Kclass0,pHclass1,ECclass3,OCclass3,Sclass1,Znclass0,Feclass2,Cuclass3,Mnclass2,Bclass0,OMclass3,1.0
Nclass1,Pclass0,Kclass0,pHclass2,ECclass2,OCclass2,Sclass0,Znclass1,Feclass2,Cuclass0,Mnclass1,Bclass1,OMclass2,0.0
Nclass2,Pclass1,Kclass1,pHclass1,ECclass2,OCclass0,Sclass0,Znclass0,Feclass1,Cuclass2,Mnclass3,Bclass0,OMclass0,1.0
Nclass0,Pclass0,Kclass2,pHclass2,ECclass1,OCclass3,Sclass3,Znclass2,Feclass3,Cuclass3,Mnclass3,Bclass1,OMclass3,0.0
Nclass2,Pclass0,Kclass0,pHclass2,ECclass2,OCclass3,Sclass2,Znclass3,Feclass1,Cuclass0,Mnclass1,Bclass2,OMclass3,1.0
Nclass3,Pclass0,Kclass0,pHclass2,ECclass3,OCclass2,Sclass1,Znclass2,Feclass2,Cuclass2,Mnclass3,Bclass2,OMclass2,1.0
Nclass2,Pclass1,Kclass2,pHclass1,ECclass3,OCclass1,Sclass2,Znclass3,Feclass2,Cuclass3,Mnclass3,Bclass0,OMclass1,1.0
Nclass1,Pclass1,Kclass0,pHclass3,ECclass2,OCclass0,Sclass1,Znclass0,Feclass3,Cuclass0,Mnclass1,Bclass3,OMclass0,0.0
Nclass1,Pclass0,Kclass3,pHclass3,ECclass2,OCclass3,Sclass2,Znclass1,Feclass2,Cuclass2,Mnclass3,Bclass2,OMclass3,0.0
Nclass3,Pclass2,Kclass2,pHclass3,ECclass2,OCclass0,Sclass0,Znclass3,Feclass2,Cuclass2,Mnclass3,Bclass2,OMclass0,1.0
Nclass0,Pclass0,Kclass0,pHclass3,ECclass1,OCclass1,Sclass3,Znclass3,Feclass2,Cuclass3,Mnclass2,Bclass0,OMclass1,0.0
Nclass0,Pclass0,Kclass1,pHclass2,ECclass0,OCclass3,Sclass2,Znclass3,Feclass3,Cuclass1,Mnclass1,Bclass1,OMclass3,0.0
Nclass3,Pclass0,Kclass0,pHclass2,ECclass0,OCclass3,Sclass1,Znclass0,Feclass2,Cuclass0,Mnclass1,Bclass3,OMclass3,1.0
Nclass0,Pclass0,Kclass0,pHclass2,ECclass3,OCclass3,Sclass2,Znclass2,Feclass2,Cuclass2,Mnclass1,Bclass3,OMclass3,0.0
Nclass2,Pclass1,Kclass0,pHclass3,ECclass3,OCclass3,Sclass3,Znclass3,Feclass3,Cuclass3,Mnclass2,Bclass2,OMclass3,0.0
Nclass1,Pclass1,Kclass0,pHclass2,ECclass2,OCclass2,Sclass3,Znclass3,Feclass2,Cuclass3,Mnclass1,Bclass1,OMclass2,1.0
Nclass3,Pclass2,Kclass3,pHclass3,ECclass3,OCclass0,Sclass3,Znclass3,Feclass3,Cuclass1,Mnclass3,Bclass3,OMclass0,1.0
Nclass3,Pclass1,Kclass2,pHclass3,ECclass3,OCclass0,Sclass2,Znclass1,Feclass3,Cuclass2,Mnclass3,Bclass2,OMclass0,1.0
Nclass3,Pclass0,Kclass1,pHclass3,ECclass3,OCclass2,Sclass3,Znclass1,Feclass3,Cuclass3,Mnclass2,Bclass0,OMclass2,1.0
Nclass2,Pclass2,Kclass2,pHclass3,ECclass2,OCclass2,Sclass3,Znclass1,Feclass3,Cuclass2,Mnclass3,Bclass1,OMclass2,1.0
Nclass3,Pclass3,Kclass0,pHclass3,ECclass3,OCclass1,Sclass0,Znclass0,Feclass3,Cuclass1,Mnclass3,Bclass3,OMclass1,2.0
Nclass2,Pclass2,Kclass2,pHclass2,ECclass3,OCclass3,Sclass2,Znclass2,Feclass3,Cuclass0,Mnclass2,Bclass1,OMclass3,1.0
Nclass2,Pclass2,Kclass3,pHclass1,ECclass3,OCclass0,Sclass0,Znclass3,Feclass3,Cuclass2,Mnclass3,Bclass2,OMclass0,1.0
Nclass2,Pclass2,Kclass2,pHclass1,ECclass3,OCclass2,Sclass2,Znclass0,Feclass2,Cuclass1,Mnclass0,Bclass1,OMclass2,1.0
Nclass3,Pclass3,Kclass0,pHclass1,ECclass1,OCclass0,Sclass1,Znclass3,Feclass3,Cuclass2,Mnclass3,Bclass2,OMclass0,2.0
Nclass3,Pclass3,Kclass3,pHclass2,ECclass0,OCclass3,Sclass2,Znclass2,Feclass2,Cuclass1,Mnclass1,Bclass0,OMclass3,2.0
